Trial_ID,group,condition,grammaticality,match_mismatch,prime,target,jitter,correct_response,floc_test
1,1,1,Right-order,mismatch,large brown turtle,small brown turtle,750,1,floc
2,1,5,Unrelated-list,mismatch,foxes pipes houses,foxes pipes cities,700,1,floc
3,2,1,Right-order,match,small gray flag,small gray flag,750,2,floc
4,2,5,Unrelated-list,match,books dogs bags,books dogs bags,650,2,floc
5,7,1,Right-order,mismatch,large green chair,small green chair,700,1,floc
6,7,5,Unrelated-list,mismatch,ships birds doors,ships birds notes,750,1,floc
7,11,1,Right-order,mismatch,large pink quilt,large gray quilt,600,1,floc
8,11,5,Unrelated-list,mismatch,boxes cups buses,books cups buses,750,1,floc
9,12,1,Right-order,match,heavy wooden barrel,heavy wooden barrel,750,2,floc
10,12,5,Unrelated-list,match,yards tigers shirts,yards tigers shirts,700,2,floc
11,13,1,Right-order,mismatch,chunky gray table,sturdy gray table,750,1,floc
12,13,5,Unrelated-list,mismatch,plates cows rings,plates cows cakes,650,1,floc
13,15,1,Right-order,mismatch,hollow black branch,hollow black tunnel,700,1,floc
14,15,5,Unrelated-list,mismatch,voices rings apples,voices cakes apples,700,1,floc
15,16,1,Right-order,match,thin yellow wire,thin yellow wire,700,2,floc
16,16,5,Unrelated-list,match,lies clouds nuts,lies clouds nuts,750,2,floc
17,17,1,Right-order,mismatch,thin gray line,thin pink line,700,1,floc
18,17,5,Unrelated-list,mismatch,eyes rats lids,eggs rats lids,650,1,floc
19,19,1,Right-order,mismatch,huge green flag,tall green flag,750,1,floc
20,19,5,Unrelated-list,mismatch,wars roads pins,wars roads gums,700,1,floc
21,23,1,Right-order,mismatch,brown wooden dish,brown copper dish,700,1,floc
22,23,5,Unrelated-list,mismatch,bells dreams toes,trees dreams toes,650,1,floc
23,24,1,Right-order,match,deep blue ocean,deep blue ocean,600,2,floc
24,24,5,Unrelated-list,match,legs pots games,legs pots games,600,2,floc
25,26,1,Right-order,match,tall narrow building,tall narrow building,600,2,floc
26,26,5,Unrelated-list,match,figs stamps chickens,figs stamps chickens,600,2,floc
27,28,1,Right-order,match,tall ancient tree,tall ancient tree,750,2,floc
28,28,5,Unrelated-list,match,kits needles ribs,kits needles ribs,650,2,floc
29,31,1,Right-order,mismatch,slow wide river,calm wide river,600,1,floc
30,31,5,Unrelated-list,mismatch,ants pens stars,ants pens files,600,1,floc
31,33,1,Right-order,mismatch,grand arched bridge,grand arched window,750,1,floc
32,33,5,Unrelated-list,mismatch,caves apples chairs,caves phones chairs,750,1,floc
33,35,1,Right-order,mismatch,long narrow road,long curved road,700,1,floc
34,35,5,Unrelated-list,mismatch,cows gloves pods,bars gloves pods,650,1,floc
35,36,1,Right-order,match,grand tall tree,grand tall tree,700,2,floc
36,36,5,Unrelated-list,match,boxes caps ants,boxes caps ants,750,2,floc
37,37,1,Right-order,mismatch,lovely little garden,serene little garden,700,1,floc
38,37,5,Unrelated-list,mismatch,chairs wolves trains,chairs wolves leaves,650,1,floc
39,39,1,Right-order,mismatch,tiny ancient ring,tiny ancient coin,700,1,floc
40,39,5,Unrelated-list,mismatch,maps enemies lids,maps markets lids,650,1,floc
41,40,1,Right-order,match,small green apple,small green apple,750,2,floc
42,40,5,Unrelated-list,match,bears tools boxes,bears tools boxes,600,2,floc
43,41,1,Right-order,mismatch,large brown flag,large green flag,650,1,floc
44,41,5,Unrelated-list,mismatch,folks roads bags,sites roads bags,750,1,floc
45,43,1,Right-order,mismatch,large white room,small white room,600,1,floc
46,43,5,Unrelated-list,mismatch,lions doors beds,lions doors bugs,600,1,floc
47,44,1,Right-order,match,massive purple room,massive purple room,650,2,floc
48,44,5,Unrelated-list,match,doctors flames nuts,doctors flames nuts,700,2,floc
49,45,1,Right-order,mismatch,huge purple flower,huge purple orchid,600,1,floc
50,45,5,Unrelated-list,mismatch,cups curves robots,cups chairs robots,600,1,floc
51,47,1,Right-order,mismatch,large gray chair,large blue chair,700,1,floc
52,47,5,Unrelated-list,mismatch,cakes fans games,boxes fans games,750,1,floc
53,48,1,Right-order,match,thin brown bark,thin brown bark,750,2,floc
54,48,5,Unrelated-list,match,pots doors dogs,pots doors dogs,750,2,floc
55,49,1,Right-order,mismatch,large green couch,small green couch,650,1,floc
56,49,5,Unrelated-list,mismatch,birds ships songs,birds ships ponds,600,1,floc
57,51,1,Right-order,mismatch,large green leaf,large green tree,700,1,floc
58,51,5,Unrelated-list,mismatch,ships names labs,ships balls labs,650,1,floc
59,52,1,Right-order,match,heavy wooden table,heavy wooden table,750,2,floc
60,52,5,Unrelated-list,match,shops clouds discs,shops clouds discs,650,2,floc
61,53,1,Right-order,mismatch,heavy gray anchor,heavy blue anchor,650,1,floc
62,53,5,Unrelated-list,mismatch,lakes ribs phones,shoes ribs phones,650,1,floc
63,55,1,Right-order,mismatch,curved purple wire,hollow purple wire,650,1,floc
64,55,5,Unrelated-list,mismatch,stamps colors bags,stamps colors nuts,600,1,floc
65,57,1,Right-order,mismatch,thin black gate,thin black wall,650,1,floc
66,57,5,Unrelated-list,mismatch,vans bells kits,vans birds kits,700,1,floc
67,60,1,Right-order,match,tall narrow gate,tall narrow gate,750,2,floc
68,60,5,Unrelated-list,match,hens phones bees,hens phones bees,600,2,floc
69,62,1,Right-order,match,tiny green apple,tiny green apple,600,2,floc
70,62,5,Unrelated-list,match,pots stars roads,pots stars roads,750,2,floc
71,64,1,Right-order,match,lovely warm sweater,lovely warm sweater,600,2,floc
72,64,5,Unrelated-list,match,trains legs kittens,trains legs kittens,750,2,floc
73,66,1,Right-order,match,long wide river,long wide river,750,2,floc
74,66,5,Unrelated-list,match,nuts hams stars,nuts hams stars,600,2,floc
75,67,1,Right-order,mismatch,narrow dark river,curved dark river,600,1,floc
76,67,5,Unrelated-list,mismatch,shirts cups birds,shirts cups waves,600,1,floc
77,70,1,Right-order,match,thin black twig,thin black twig,750,2,floc
78,70,5,Unrelated-list,match,bees doors pens,bees doors pens,600,2,floc
79,71,1,Right-order,mismatch,dark wooden table,dark marble table,600,1,floc
80,71,5,Unrelated-list,mismatch,cars apples books,lids apples books,600,1,floc
81,73,1,Right-order,mismatch,tiny brown mouse,cute brown mouse,600,1,floc
82,73,5,Unrelated-list,mismatch,beds hills stars,beds hills pears,750,1,floc
83,76,1,Right-order,match,small antique desk,small antique desk,700,2,floc
84,76,5,Unrelated-list,match,walls forests jets,walls forests jets,600,2,floc
85,80,1,Right-order,match,heavy black boot,heavy black boot,650,2,floc
86,80,5,Unrelated-list,match,clams games gems,clams games gems,700,2,floc
87,86,1,Right-order,match,pleasant green field,pleasant green field,650,2,floc
88,86,5,Unrelated-list,match,balloons belts beams,balloons belts beams,650,2,floc
89,87,1,Right-order,mismatch,thin white cloud,thin white paper,600,1,floc
90,87,5,Unrelated-list,mismatch,arms bells chips,arms cakes chips,600,1,floc
91,89,1,Right-order,mismatch,huge dark cave,huge deep cave,650,1,floc
92,89,5,Unrelated-list,mismatch,cows hats fins,hips hats fins,600,1,floc
93,92,1,Right-order,match,large sharp tooth,large sharp tooth,700,2,floc
94,92,5,Unrelated-list,match,beans bumps debts,beans bumps debts,700,2,floc
95,94,1,Right-order,match,long dark hall,long dark hall,600,2,floc
96,94,5,Unrelated-list,match,bows dots zoos,bows dots zoos,700,2,floc
97,95,1,Right-order,mismatch,warm black soil,warm brown soil,650,1,floc
98,95,5,Unrelated-list,mismatch,arms hills hams,pots hills hams,650,1,floc
99,100,1,Right-order,match,young leafy shrub,young leafy shrub,600,2,floc
100,100,5,Unrelated-list,match,cakes trees rings,cakes trees rings,750,2,floc
101,3,1,Right-order,mismatch,massive white room,massive white boat,600,1,test
102,3,2,Wrong-order,match,white massive room,white massive room,750,2,test
103,3,3,PS-violation,mismatch,massive room white,compact room white,600,1,test
104,3,4,Related-list,match,gardens paths dogs,gardens paths dogs,750,2,test
105,3,5,Unrelated-list,mismatch,beaches shoes cats,beaches lakes cats,750,1,test
106,4,1,Right-order,match,large purple flower,large purple flower,650,2,test
107,4,2,Wrong-order,mismatch,purple large flower,purple large orchid,750,1,test
108,4,3,PS-violation,match,large flower purple,large flower purple,600,2,test
109,4,4,Related-list,mismatch,shoes gloves purses,coats gloves purses,700,1,test
110,4,5,Unrelated-list,match,trees houses tables,trees houses tables,750,2,test
111,5,1,Right-order,mismatch,huge purple crystal,huge yellow crystal,600,1,test
112,5,2,Wrong-order,match,purple huge crystal,purple huge crystal,750,2,test
113,5,3,PS-violation,mismatch,huge crystal purple,huge crystal yellow,700,1,test
114,5,4,Related-list,match,pins frames handles,pins frames handles,700,2,test
115,5,5,Unrelated-list,mismatch,beds stamps circles,bins stamps circles,700,1,test
116,6,1,Right-order,match,small blue bottle,small blue bottle,750,2,test
117,6,2,Wrong-order,mismatch,blue small bottle,blue large bottle,750,1,test
118,6,3,PS-violation,match,small bottle blue,small bottle blue,750,2,test
119,6,4,Related-list,mismatch,books pens papers,books pens shirts,750,1,test
120,6,5,Unrelated-list,match,cakes keys phones,cakes keys phones,700,2,test
121,8,1,Right-order,match,thin gray book,thin gray book,700,2,test
122,8,2,Wrong-order,mismatch,gray thin book,blue thin book,600,1,test
123,8,3,PS-violation,match,thin book gray,thin book gray,650,2,test
124,8,4,Related-list,mismatch,pods lids pans,pods pins pans,600,1,test
125,8,5,Unrelated-list,match,beds maps toys,beds maps toys,650,2,test
126,9,1,Right-order,mismatch,large brown couch,large brown chair,650,1,test
127,9,2,Wrong-order,match,brown large couch,brown large couch,750,2,test
128,9,3,PS-violation,mismatch,large couch brown,small couch brown,750,1,test
129,9,4,Related-list,match,faces heads noses,faces heads noses,600,2,test
130,9,5,Unrelated-list,mismatch,desks foxes rings,desks coats rings,600,1,test
131,10,1,Right-order,match,tiny green leaf,tiny green leaf,600,2,test
132,10,2,Wrong-order,mismatch,green tiny leaf,green tiny line,750,1,test
133,10,3,PS-violation,match,tiny leaf green,tiny leaf green,700,2,test
134,10,4,Related-list,mismatch,vans buses cars,pens buses cars,600,1,test
135,10,5,Unrelated-list,match,wigs bears eggs,wigs bears eggs,700,2,test
136,14,1,Right-order,match,curved yellow frame,curved yellow frame,700,2,test
137,14,2,Wrong-order,mismatch,yellow curved frame,wooden curved frame,600,1,test
138,14,3,PS-violation,match,curved frame yellow,curved frame yellow,700,2,test
139,14,4,Related-list,mismatch,novels papers books,novels chairs books,600,1,test
140,14,5,Unrelated-list,match,shirts horses songs,shirts horses songs,600,2,test
141,18,1,Right-order,match,tall white wall,tall white wall,700,2,test
142,18,2,Wrong-order,mismatch,white tall wall,white long wall,700,1,test
143,18,3,PS-violation,match,tall wall white,tall wall white,650,2,test
144,18,4,Related-list,mismatch,eyes noses ears,eyes noses lips,600,1,test
145,18,5,Unrelated-list,match,nuts stars wigs,nuts stars wigs,700,2,test
146,20,1,Right-order,match,slim brown pencil,slim brown pencil,750,2,test
147,20,2,Wrong-order,mismatch,brown slim pencil,black slim pencil,700,1,test
148,20,3,PS-violation,match,slim pencil brown,slim pencil brown,600,2,test
149,20,4,Related-list,mismatch,hats shoes gloves,hats stars gloves,700,1,test
150,20,5,Unrelated-list,match,hens tanks scenes,hens tanks scenes,650,2,test
151,21,1,Right-order,mismatch,brown wooden chair,brown wooden frame,750,1,test
152,21,2,Wrong-order,match,wooden brown chair,wooden brown chair,650,2,test
153,21,3,PS-violation,mismatch,brown chair wooden,black chair wooden,750,1,test
154,21,4,Related-list,match,winds clouds stars,winds clouds stars,600,2,test
155,21,5,Unrelated-list,mismatch,games apples tools,games clocks tools,750,1,test
156,22,1,Right-order,match,thick green book,thick green book,750,2,test
157,22,2,Wrong-order,mismatch,green thick book,green thick foam,700,1,test
158,22,3,PS-violation,match,thick book green,thick book green,750,2,test
159,22,4,Related-list,mismatch,signs roads maps,cards roads maps,650,1,test
160,22,5,Unrelated-list,match,names doves seas,names doves seas,750,2,test
161,25,1,Right-order,mismatch,warm pink blanket,soft pink blanket,700,1,test
162,25,2,Wrong-order,match,pink warm blanket,pink warm blanket,600,2,test
163,25,3,PS-violation,mismatch,warm blanket pink,warm sweater pink,600,1,test
164,25,4,Related-list,match,keys bags wallets,keys bags wallets,650,2,test
165,25,5,Unrelated-list,mismatch,ants labs flowers,ants labs islands,750,1,test
166,27,1,Right-order,mismatch,elegant arched gate,elegant arched door,700,1,test
167,27,2,Wrong-order,match,arched elegant gate,arched elegant gate,700,2,test
168,27,3,PS-violation,mismatch,elegant gate arched,massive gate arched,600,1,test
169,27,4,Related-list,match,flowers bushes peas,flowers bushes peas,700,2,test
170,27,5,Unrelated-list,mismatch,monkeys spoons hams,monkeys hotels hams,700,1,test
171,29,1,Right-order,mismatch,cool muddy ground,cool rocky ground,700,1,test
172,29,2,Wrong-order,match,muddy cool ground,muddy cool ground,600,2,test
173,29,3,PS-violation,mismatch,cool ground muddy,cool ground rocky,600,1,test
174,29,4,Related-list,match,pens books papers,pens books papers,650,2,test
175,29,5,Unrelated-list,mismatch,pens cakes scenes,zoos cakes scenes,650,1,test
176,30,1,Right-order,match,huge heavy stone,huge heavy stone,650,2,test
177,30,2,Wrong-order,mismatch,heavy huge stone,heavy tall stone,750,1,test
178,30,3,PS-violation,match,huge stone heavy,huge stone heavy,650,2,test
179,30,4,Related-list,mismatch,zoos parks pools,zoos parks ponds,650,1,test
180,30,5,Unrelated-list,match,hens pipes masks,hens pipes masks,750,2,test
181,32,1,Right-order,match,elegant white statue,elegant white statue,650,2,test
182,32,2,Wrong-order,mismatch,white elegant statue,stone elegant statue,700,1,test
183,32,3,PS-violation,match,elegant statue white,elegant statue white,700,2,test
184,32,4,Related-list,mismatch,bananas beans apples,bananas desks apples,600,1,test
185,32,5,Unrelated-list,match,gardens bikes leaves,gardens bikes leaves,700,2,test
186,34,1,Right-order,match,shallow soggy marsh,shallow soggy marsh,700,2,test
187,34,2,Wrong-order,mismatch,soggy shallow marsh,soggy shallow swamp,700,1,test
188,34,3,PS-violation,match,shallow marsh soggy,shallow marsh soggy,700,2,test
189,34,4,Related-list,mismatch,windows doors walls,letters doors walls,750,1,test
190,34,5,Unrelated-list,match,puppies cakes areas,puppies cakes areas,750,2,test
191,38,1,Right-order,match,thick warm blanket,thick warm blanket,650,2,test
192,38,2,Wrong-order,mismatch,warm thick blanket,cozy thick blanket,750,1,test
193,38,3,PS-violation,match,thick blanket warm,thick blanket warm,750,2,test
194,38,4,Related-list,mismatch,cakes pies cookies,cakes peas cookies,750,1,test
195,38,5,Unrelated-list,match,notes toys kittens,notes toys kittens,600,2,test
196,42,1,Right-order,match,small gray dragon,small gray dragon,650,2,test
197,42,2,Wrong-order,mismatch,gray small dragon,gray large dragon,700,1,test
198,42,3,PS-violation,match,small dragon gray,small dragon gray,600,2,test
199,42,4,Related-list,mismatch,seeds nuts grains,seeds nuts stones,650,1,test
200,42,5,Unrelated-list,match,waves legs drinks,waves legs drinks,700,2,test
201,46,1,Right-order,match,small blue pebble,small blue pebble,750,2,test
202,46,2,Wrong-order,mismatch,blue small pebble,blue small marble,600,1,test
203,46,3,PS-violation,match,small pebble blue,small pebble blue,650,2,test
204,46,4,Related-list,mismatch,foxes cats wolves,stars cats wolves,650,1,test
205,46,5,Unrelated-list,match,notes wigs guards,notes wigs guards,650,2,test
206,50,1,Right-order,match,tiny pink quilt,tiny pink quilt,700,2,test
207,50,2,Wrong-order,mismatch,pink tiny quilt,blue tiny quilt,650,1,test
208,50,3,PS-violation,match,tiny quilt pink,tiny quilt pink,650,2,test
209,50,4,Related-list,mismatch,cups pots bowls,cups mugs bowls,700,1,test
210,50,5,Unrelated-list,match,fees maps waves,fees maps waves,700,2,test
211,54,1,Right-order,match,curved brown frame,curved brown frame,600,2,test
212,54,2,Wrong-order,mismatch,brown curved frame,brown sturdy frame,600,1,test
213,54,3,PS-violation,match,curved frame brown,curved frame brown,600,2,test
214,54,4,Related-list,mismatch,clocks desks doors,clocks desks roads,700,1,test
215,54,5,Unrelated-list,match,drinks hives notes,drinks hives notes,650,2,test
216,56,1,Right-order,match,thin gray wire,thin gray wire,750,2,test
217,56,2,Wrong-order,mismatch,gray thin wire,pink thin wire,700,1,test
218,56,3,PS-violation,match,thin wire gray,thin wire gray,650,2,test
219,56,4,Related-list,mismatch,eyes lips ears,eyes hips ears,600,1,test
220,56,5,Unrelated-list,match,keys jets zoos,keys jets zoos,750,2,test
221,58,1,Right-order,match,huge purple sign,huge purple sign,650,2,test
222,58,2,Wrong-order,mismatch,purple huge sign,purple huge flag,700,1,test
223,58,3,PS-violation,match,huge sign purple,huge sign purple,650,2,test
224,58,4,Related-list,mismatch,bats eagles owls,ants eagles owls,650,1,test
225,58,5,Unrelated-list,match,cups guards cats,cups guards cats,650,2,test
226,59,1,Right-order,mismatch,huge wooden chair,huge modern chair,750,1,test
227,59,2,Wrong-order,match,wooden huge chair,wooden huge chair,650,2,test
228,59,3,PS-violation,mismatch,huge chair wooden,huge chair modern,600,1,test
229,59,4,Related-list,match,fogs storms rains,fogs storms rains,600,2,test
230,59,5,Unrelated-list,mismatch,cows stones names,cars stones names,750,1,test
231,61,1,Right-order,mismatch,thick pink blanket,plush pink blanket,750,1,test
232,61,2,Wrong-order,match,pink thick blanket,pink thick blanket,600,2,test
233,61,3,PS-violation,mismatch,thick blanket pink,thick sweater pink,650,1,test
234,61,4,Related-list,match,parks zoos gardens,parks zoos gardens,600,2,test
235,61,5,Unrelated-list,mismatch,yards ribs bridges,yards ribs stories,750,1,test
236,63,1,Right-order,mismatch,small ancient ring,small ancient coin,700,1,test
237,63,2,Wrong-order,match,ancient small ring,ancient small ring,650,2,test
238,63,3,PS-violation,mismatch,small ring ancient,rusty ring ancient,750,1,test
239,63,4,Related-list,match,coats jackets hats,coats jackets hats,650,2,test
240,63,5,Unrelated-list,mismatch,masks dragons pods,masks flowers pods,750,1,test
241,65,1,Right-order,mismatch,elegant white gate,elegant stone gate,750,1,test
242,65,2,Wrong-order,match,white elegant gate,white elegant gate,750,2,test
243,65,3,PS-violation,mismatch,elegant gate white,elegant gate stone,650,1,test
244,65,4,Related-list,match,flowers stems buds,flowers stems buds,650,2,test
245,65,5,Unrelated-list,mismatch,circles cafes beds,schools cafes beds,600,1,test
246,68,1,Right-order,match,tall heavy pillar,tall heavy pillar,650,2,test
247,68,2,Wrong-order,mismatch,heavy tall pillar,grand tall pillar,700,1,test
248,68,3,PS-violation,match,tall pillar heavy,tall pillar heavy,700,2,test
249,68,4,Related-list,mismatch,beds lamps tables,beds doors tables,700,1,test
250,68,5,Unrelated-list,match,pins twigs voices,pins twigs voices,750,2,test
251,69,1,Right-order,mismatch,elegant arched bridge,elegant arched window,750,1,test
252,69,2,Wrong-order,match,arched elegant bridge,arched elegant bridge,600,2,test
253,69,3,PS-violation,mismatch,elegant bridge arched,ancient bridge arched,650,1,test
254,69,4,Related-list,match,donkeys horses ponies,donkeys horses ponies,650,2,test
255,69,5,Unrelated-list,mismatch,rabbits stones dreams,rabbits voices dreams,600,1,test
256,72,1,Right-order,match,long silky dress,long silky dress,750,2,test
257,72,2,Wrong-order,mismatch,silky long dress,silky soft dress,600,1,test
258,72,3,PS-violation,match,long dress silky,long dress silky,700,2,test
259,72,4,Related-list,mismatch,lids corks seals,lids corks plugs,700,1,test
260,72,5,Unrelated-list,match,bats yards gifts,bats yards gifts,600,2,test
261,74,1,Right-order,match,dark grainy soil,dark grainy soil,750,2,test
262,74,2,Wrong-order,mismatch,grainy dark soil,gritty dark soil,650,1,test
263,74,3,PS-violation,match,dark soil grainy,dark soil grainy,750,2,test
264,74,4,Related-list,mismatch,pans dishes pots,pans plates pots,750,1,test
265,74,5,Unrelated-list,match,rugs eagles toys,rugs eagles toys,650,2,test
266,75,1,Right-order,mismatch,small green plant,small green grape,750,1,test
267,75,2,Wrong-order,match,green small plant,green small plant,600,2,test
268,75,3,PS-violation,mismatch,small plant green,large plant green,750,1,test
269,75,4,Related-list,match,pools lakes ponds,pools lakes ponds,600,2,test
270,75,5,Unrelated-list,mismatch,films doors cakes,films kites cakes,700,1,test
271,77,1,Right-order,mismatch,cute little puppy,cute sleepy puppy,700,1,test
272,77,2,Wrong-order,match,little cute puppy,little cute puppy,600,2,test
273,77,3,PS-violation,mismatch,cute puppy little,cute puppy sleepy,750,1,test
274,77,4,Related-list,match,nuts acorns seeds,nuts acorns seeds,750,2,test
275,77,5,Unrelated-list,mismatch,jars wolves forks,pans wolves forks,650,1,test
276,78,1,Right-order,match,large brown plate,large brown plate,750,2,test
277,78,2,Wrong-order,mismatch,brown large plate,brown heavy plate,700,1,test
278,78,3,PS-violation,match,large plate brown,large plate brown,650,2,test
279,78,4,Related-list,mismatch,corns seeds crops,corns seeds beans,650,1,test
280,78,5,Unrelated-list,match,discs malls lakes,discs malls lakes,750,2,test
281,79,1,Right-order,mismatch,small round clock,large round clock,750,1,test
282,79,2,Wrong-order,match,round small clock,round small clock,600,2,test
283,79,3,PS-violation,mismatch,small clock round,small table round,600,1,test
284,79,4,Related-list,match,lions birds lambs,lions birds lambs,600,2,test
285,79,5,Unrelated-list,mismatch,trees ships buses,trees ships doors,750,1,test
286,81,1,Right-order,mismatch,nice wooden bowl,nice wooden door,650,1,test
287,81,2,Wrong-order,match,wooden nice bowl,wooden nice bowl,650,2,test
288,81,3,PS-violation,mismatch,nice bowl wooden,deep bowl wooden,600,1,test
289,81,4,Related-list,match,cups dishes pots,cups dishes pots,700,2,test
290,81,5,Unrelated-list,mismatch,figs clouds hugs,figs tables hugs,750,1,test
291,82,1,Right-order,match,small round cake,small round cake,750,2,test
292,82,2,Wrong-order,mismatch,round small cake,round small knob,650,1,test
293,82,3,PS-violation,match,small cake round,small cake round,600,2,test
294,82,4,Related-list,mismatch,bowls forks cups,trays forks cups,700,1,test
295,82,5,Unrelated-list,match,bulbs parks tips,bulbs parks tips,600,2,test
296,83,1,Right-order,mismatch,rare blue bird,rare gray bird,750,1,test
297,83,2,Wrong-order,match,blue rare bird,blue rare bird,600,2,test
298,83,3,PS-violation,mismatch,rare bird blue,rare bird gray,650,1,test
299,83,4,Related-list,match,bees ants bugs,bees ants bugs,650,2,test
300,83,5,Unrelated-list,mismatch,eggs fans wigs,zoos fans wigs,600,1,test
301,84,1,Right-order,match,thick white towel,thick white towel,750,2,test
302,84,2,Wrong-order,mismatch,white thick towel,white large towel,650,1,test
303,84,3,PS-violation,match,thick towel white,thick towel white,700,2,test
304,84,4,Related-list,mismatch,gates exits doors,gates exits paths,750,1,test
305,84,5,Unrelated-list,match,cents bones cages,cents bones cages,700,2,test
306,85,1,Right-order,mismatch,small round face,jolly round face,700,1,test
307,85,2,Wrong-order,match,round small face,round small face,650,2,test
308,85,3,PS-violation,mismatch,small face round,small hole round,600,1,test
309,85,4,Related-list,match,dolls balls toys,dolls balls toys,750,2,test
310,85,5,Unrelated-list,mismatch,chefs costs hips,chefs costs ants,650,1,test
311,88,1,Right-order,match,thick green vine,thick green vine,650,2,test
312,88,2,Wrong-order,mismatch,green thick vine,green thick bush,700,1,test
313,88,3,PS-violation,match,thick vine green,thick vine green,700,2,test
314,88,4,Related-list,mismatch,beans corns peas,seeds corns peas,600,1,test
315,88,5,Unrelated-list,match,cages desks bees,cages desks bees,600,2,test
316,90,1,Right-order,match,large yellow moon,large yellow moon,750,2,test
317,90,2,Wrong-order,mismatch,yellow large moon,yellow round moon,600,1,test
318,90,3,PS-violation,match,large moon yellow,large moon yellow,750,2,test
319,90,4,Related-list,mismatch,trees shrubs oaks,trees shrubs logs,750,1,test
320,90,5,Unrelated-list,match,cents rivers apes,cents rivers apes,750,2,test
321,91,1,Right-order,mismatch,warm woolen coat,gray woolen coat,700,1,test
322,91,2,Wrong-order,match,woolen warm coat,woolen warm coat,600,2,test
323,91,3,PS-violation,mismatch,warm coat woolen,warm boot woolen,600,1,test
324,91,4,Related-list,match,vans trucks cars,vans trucks cars,700,2,test
325,91,5,Unrelated-list,mismatch,buns images gums,buns images zoos,700,1,test
326,93,1,Right-order,mismatch,round green melon,round green apple,650,1,test
327,93,2,Wrong-order,match,green round melon,green round melon,700,2,test
328,93,3,PS-violation,mismatch,round melon green,juicy melon green,650,1,test
329,93,4,Related-list,match,waves boats ships,waves boats ships,650,2,test
330,93,5,Unrelated-list,mismatch,brows cells crabs,brows books crabs,700,1,test
331,96,1,Right-order,match,thin black rope,thin black rope,600,2,test
332,96,2,Wrong-order,mismatch,black thin rope,black long rope,700,1,test
333,96,3,PS-violation,match,thin rope black,thin rope black,750,2,test
334,96,4,Related-list,mismatch,cups bowls jars,cups bowls mugs,650,1,test
335,96,5,Unrelated-list,match,pots caves dogs,pots caves dogs,750,2,test
336,97,1,Right-order,mismatch,round brown bread,large brown bread,750,1,test
337,97,2,Wrong-order,match,brown round bread,brown round bread,700,2,test
338,97,3,PS-violation,mismatch,round bread brown,round plate brown,700,1,test
339,97,4,Related-list,match,doors lamps desks,doors lamps desks,750,2,test
340,97,5,Unrelated-list,mismatch,discs lakes coats,discs lakes boots,650,1,test
341,98,1,Right-order,match,round muddy patch,round muddy patch,750,2,test
342,98,2,Wrong-order,mismatch,muddy round patch,moist round patch,700,1,test
343,98,3,PS-violation,match,round patch muddy,round patch muddy,650,2,test
344,98,4,Related-list,mismatch,seeds vines trees,seeds roots trees,650,1,test
345,98,5,Unrelated-list,match,yards games bites,yards games bites,700,2,test
346,99,1,Right-order,mismatch,long curly hair,long curly wire,600,1,test
347,99,2,Wrong-order,match,curly long hair,curly long hair,600,2,test
348,99,3,PS-violation,mismatch,long hair curly,thin hair curly,700,1,test
349,99,4,Related-list,match,bats birds owls,bats birds owls,650,2,test
350,99,5,Unrelated-list,mismatch,wigs bears cans,wigs coats cans,750,1,test