set,cond_tag,trial_item,item_n,condition_label,comp,condition,words,struc,target_frame,prime,target,match_manip,string_length
22,c ,22c ,171,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the beige shade,the white color,DIFF,15
22,d,22d,172,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade beige,the white color,DIFF,15
22,e,22e,173,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue white green,hue white green,SAME,15
22,f,22f,174,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue green white,hue white green,DIFF,15
22,g,22g,175,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue beige black,hue white green,DIFF,15
22,h,22h,176,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue black beige,hue white green,DIFF,15
23,a,23a,177,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade white,the shade white,SAME,15
23,b,23b,178,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the white shade,the shade white,DIFF,15
23,c ,23c ,179,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color beige,the shade white,DIFF,15
23,d,23d,180,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the beige color,the shade white,DIFF,15
23,e,23e,181,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan black white,tan black white,SAME,15
23,f,23f,182,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan white black,tan black white,DIFF,15
23,g,23g,183,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan green beige,tan black white,DIFF,15
23,h,23h,184,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan beige green,tan black white,DIFF,15
24,a,24a,185,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the white shade,the white shade,SAME,15
24,b,24b,186,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade white,the white shade,DIFF,15
24,c ,24c ,187,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the beige color,the white shade,DIFF,15
24,d,24d,188,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color beige,the white shade,DIFF,15
24,e,24e,189,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue white black,hue white black,SAME,15
24,f,24f,190,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue black white,hue white black,DIFF,15
24,g,24g,191,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue beige green,hue white black,DIFF,15
24,h,24h,192,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue green beige,hue white black,DIFF,15
25,a,25a,193,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tone pink,the tone pink,SAME,13
25,b,25b,194,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the pink tone,the tone pink,DIFF,13
25,c ,25c ,195,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tint gold,the tone pink,DIFF,13
25,d,25d,196,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the gold tint,the tone pink,DIFF,13
25,e,25e,197,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan blue pink,tan blue pink,SAME,13
25,f,25f,198,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan pink blue,tan blue pink,DIFF,13
25,g,25g,199,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan grey gold,tan blue pink,DIFF,13
25,h,25h,200,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan gold grey,tan blue pink,DIFF,13
26,a,26a,201,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the pink tone,the pink tone,SAME,13
26,b,26b,202,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tone pink,the pink tone,DIFF,13
26,c ,26c ,203,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the gold tint,the pink tone,DIFF,13
26,d,26d,204,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tint gold,the pink tone,DIFF,13
26,e,26e,205,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue pink blue,hue pink blue,SAME,13
26,f,26f,206,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue blue pink,hue pink blue,DIFF,13
26,g,26g,207,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue gold grey,hue pink blue,DIFF,13
26,h,26h,208,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue grey gold,hue pink blue,DIFF,13
27,a,27a,209,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tint pink,the tint pink,SAME,13
27,b,27b,210,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the pink tint,the tint pink,DIFF,13
27,c ,27c ,211,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tone gold,the tint pink,DIFF,13
27,d,27d,212,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the gold tone,the tint pink,DIFF,13
27,e,27e,213,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan grey pink,tan grey pink,SAME,13
27,f,27f,214,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan pink grey,tan grey pink,DIFF,13
27,g,27g,215,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan blue gold,tan grey pink,DIFF,13
27,h,27h,216,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan gold blue,tan grey pink,DIFF,13
28,a,28a,217,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the pink tint,the pink tint,SAME,13
28,b,28b,218,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tint pink,the pink tint,DIFF,13
28,c ,28c ,219,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the gold tone,the pink tint,DIFF,13
28,d,28d,220,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tone gold,the pink tint,DIFF,13
28,e,28e,221,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue pink grey,hue pink grey,SAME,13
28,f,28f,222,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue grey pink,hue pink grey,DIFF,13
28,g,28g,223,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue gold blue,hue pink grey,DIFF,13
28,h,28h,224,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue blue gold,hue pink grey,DIFF,13
29,a,29a,225,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tone gold,the tone gold,SAME,13
29,b,29b,226,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the gold tone,the tone gold,DIFF,13
29,c ,29c ,227,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tint pink,the tone gold,DIFF,13
29,d,29d,228,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the pink tint,the tone gold,DIFF,13
29,e,29e,229,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan blue gold,tan blue gold,SAME,13
29,f,29f,230,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan gold blue,tan blue gold,DIFF,13
29,g,29g,231,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan grey pink,tan blue gold,DIFF,13
29,h,29h,232,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan pink grey,tan blue gold,DIFF,13
30,a,30a,233,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the gold tone,the gold tone,SAME,13
30,b,30b,234,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tone gold,the gold tone,DIFF,13
30,c ,30c ,235,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the pink tint,the gold tone,DIFF,13
30,d,30d,236,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tint pink,the gold tone,DIFF,13
30,e,30e,237,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue gold blue,hue gold blue,SAME,13
30,f,30f,238,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue blue gold,hue gold blue,DIFF,13
30,g,30g,239,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue pink grey,hue gold blue,DIFF,13
30,h,30h,240,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue grey pink,hue gold blue,DIFF,13
31,a,31a,241,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tint gold,the tint gold,SAME,13
31,b,31b,242,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the gold tint,the tint gold,DIFF,13
31,c ,31c ,243,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tone pink,the tint gold,DIFF,13
31,d,31d,244,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the pink tone,the tint gold,DIFF,13
31,e,31e,245,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan grey gold,tan grey gold,SAME,13
31,f,31f,246,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan gold grey,tan grey gold,DIFF,13
31,g,31g,247,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan blue pink,tan grey gold,DIFF,13
31,h,31h,248,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan pink blue,tan grey gold,DIFF,13
32,a,32a,249,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the gold tint,the gold tint,SAME,13
32,b,32b,250,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tint gold,the gold tint,DIFF,13
32,c ,32c ,251,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the pink tone,the gold tint,DIFF,13
32,d,32d,252,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tone pink,the gold tint,DIFF,13
32,e,32e,253,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue gold grey,hue gold grey,SAME,13
32,f,32f,254,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue grey gold,hue gold grey,DIFF,13
32,g,32g,255,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue pink blue,hue gold grey,DIFF,13
32,h,32h,256,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue blue pink,hue gold grey,DIFF,13
33,a,33a,257,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the color green,the color green,SAME,15
33,b,33b,258,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the green color,the color green,DIFF,15
33,c ,33c ,259,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the shade black,the color green,DIFF,15
33,d,33d,260,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the black shade,the color green,DIFF,15
33,e,33e,261,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan beige green,tan beige green,SAME,15
33,f,33f,262,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan green beige,tan beige green,DIFF,15
33,g,33g,263,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan white black,tan beige green,DIFF,15
33,h,33h,264,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan black white,tan beige green,DIFF,15
34,a,34a,265,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the green color,the green color,SAME,15
34,b,34b,266,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the color green,the green color,DIFF,15
34,c ,34c ,267,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the black shade,the green color,DIFF,15
34,d,34d,268,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade black,the green color,DIFF,15
34,e,34e,269,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue green beige,hue green beige,SAME,15
34,f,34f,270,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue beige green,hue green beige,DIFF,15
34,g,34g,271,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue black white,hue green beige,DIFF,15
34,h,34h,272,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue white black,hue green beige,DIFF,15
35,a,35a,273,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade green,the shade green,SAME,15
35,b,35b,274,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the green shade,the shade green,DIFF,15
35,c ,35c ,275,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color black,the shade green,DIFF,15
35,d,35d,276,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the black color,the shade green,DIFF,15
35,e,35e,277,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan white green,tan white green,SAME,15
35,f,35f,278,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan green white,tan white green,DIFF,15
35,g,35g,279,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan beige black,tan white green,DIFF,15
35,h,35h,280,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan black beige,tan white green,DIFF,15
36,a,36a,281,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the green shade,the green shade,SAME,15
36,b,36b,282,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade green,the green shade,DIFF,15
36,c ,36c ,283,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the black color,the green shade,DIFF,15
36,d,36d,284,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color black,the green shade,DIFF,15
36,e,36e,285,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue green white,hue green white,SAME,15
36,f,36f,286,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue white green,hue green white,DIFF,15
36,g,36g,287,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue black beige,hue green white,DIFF,15
36,h,36h,288,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue beige black,hue green white,DIFF,15
37,a,37a,289,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the color black,the color black,SAME,15
37,b,37b,290,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the black color,the color black,DIFF,15
37,c ,37c ,291,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the shade green,the color black,DIFF,15
37,d,37d,292,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the green shade,the color black,DIFF,15
37,e,37e,293,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan beige black,tan beige black,SAME,15
37,f,37f,294,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan black beige,tan beige black,DIFF,15
37,g,37g,295,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan white green,tan beige black,DIFF,15
37,h,37h,296,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan green white,tan beige black,DIFF,15
38,a,38a,297,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the black color,the black color,SAME,15
38,b,38b,298,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the color black,the black color,DIFF,15
38,c ,38c ,299,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the green shade,the black color,DIFF,15
38,d,38d,300,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade green,the black color,DIFF,15
38,e,38e,301,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue black beige,hue black beige,SAME,15
38,f,38f,302,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue beige black,hue black beige,DIFF,15
38,g,38g,303,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue green white,hue black beige,DIFF,15
38,h,38h,304,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue white green,hue black beige,DIFF,15
39,a,39a,305,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade black,the shade black,SAME,15
39,b,39b,306,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the black shade,the shade black,DIFF,15
39,c ,39c ,307,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color green,the shade black,DIFF,15
39,d,39d,308,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the green color,the shade black,DIFF,15
39,e,39e,309,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan white black,tan white black,SAME,15
39,f,39f,310,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan black white,tan white black,DIFF,15
39,g,39g,311,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan beige green,tan white black,DIFF,15
39,h,39h,312,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan green beige,tan white black,DIFF,15
40,a,40a,313,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the black shade,the black shade,SAME,15
40,b,40b,314,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade black,the black shade,DIFF,15
40,c ,40c ,315,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the green color,the black shade,DIFF,15
40,d,40d,316,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color green,the black shade,DIFF,15
40,e,40e,317,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue black white,hue black white,SAME,15
40,f,40f,318,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue white black,hue black white,DIFF,15
40,g,40g,319,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue green beige,hue black white,DIFF,15
40,h,40h,320,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue beige green,hue black white,DIFF,15
41,a,41a,321,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tone blue,the tone blue,SAME,13
41,b,41b,322,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the blue tone,the tone blue,DIFF,13
41,c ,41c ,323,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tint grey,the tone blue,DIFF,13
41,d,41d,324,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the grey tint,the tone blue,DIFF,13
41,e,41e,325,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan pink blue,tan pink blue,SAME,13
41,f,41f,326,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan blue pink,tan pink blue,DIFF,13
41,g,41g,327,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan gold grey,tan pink blue,DIFF,13
41,h,41h,328,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan grey gold,tan pink blue,DIFF,13
42,a,42a,329,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the blue tone,the blue tone,SAME,13
42,b,42b,330,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tone blue,the blue tone,DIFF,13
42,c ,42c ,331,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the grey tint,the blue tone,DIFF,13
42,d,42d,332,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tint grey,the blue tone,DIFF,13
42,e,42e,333,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue blue pink,hue blue pink,SAME,13
42,f,42f,334,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue pink blue,hue blue pink,DIFF,13
42,g,42g,335,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue grey gold,hue blue pink,DIFF,13
42,h,42h,336,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue gold grey,hue blue pink,DIFF,13
43,a,43a,337,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tint blue,the tint blue,SAME,13
43,b,43b,338,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the blue tint,the tint blue,DIFF,13
43,c ,43c ,339,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tone grey,the tint blue,DIFF,13
43,d,43d,340,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the grey tone,the tint blue,DIFF,13
